chroma_id,movie_id,page_content,genres,director,title,year,doc_type
,1,What animated movie features toys that come to life and deal with jealousy and friendship when a new toy arrives?,Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,Toy Story,1995,full_plot_semantic_query
,1,"What animated movie features toys that come to life, exploring themes of friendship and jealousy as they navigate adventures to reunite with their owner?",Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,Toy Story,1995,summary_semantic_query
,2,What movie features a magical board game that transports players into a jungle adventure and causes chaos in their lives?,Adventure|Children|Fantasy,Joe Johnston,Jumanji,1995,full_plot_semantic_query
,2,"What adventure-fantasy movie involves a magical board game that brings wild animals and a hunter to life, requiring characters to confront their past and make choices to reverse chaos?",Adventure|Children|Fantasy,Joe Johnston,Jumanji,1995,summary_semantic_query
,3,What comedy features two feuding old men who try to sabotage a new restaurant while dealing with their children's engagement issues?,Comedy|Romance,Howard Deutch,Grumpier Old Men,1995,full_plot_semantic_query
,3,What comedy film features two feuding fathers who help their children navigate romance and family conflicts while dealing with a new Italian restaurant in their neighborhood?,Comedy|Romance,Howard Deutch,Grumpier Old Men,1995,summary_semantic_query
,4,"What movie features four African-American women navigating love, friendship, and personal growth while dealing with heartbreak and life changes?",Comedy|Drama|Romance,Forest Whitaker,Waiting to Exhale,1995,full_plot_semantic_query
,4,"What movie features four African-American women dealing with love, heartbreak, and personal growth while supporting each other through life's challenges?",Comedy|Drama|Romance,Forest Whitaker,Waiting to Exhale,1995,summary_semantic_query
,5,What movie features a father dealing with the challenges of becoming a grandfather while his wife unexpectedly becomes pregnant again?,Comedy,Charles Shyer,Father of the Bride Part II,1995,full_plot_semantic_query
,5,What comedy explores the challenges of parenthood and family change when a man faces becoming a grandfather while also discovering his wife is pregnant?,Comedy,Charles Shyer,Father of the Bride Part II,1995,summary_semantic_query
,6,"What crime thriller features a cat-and-mouse game between a career criminal and a dedicated police lieutenant, exploring themes of revenge and personal sacrifice?",Action|Crime|Thriller,Michael Mann,Heat,1995,full_plot_semantic_query
,6,What crime thriller features a master thief planning a heist while dealing with personal relationships and a relentless detective?,Action|Crime|Thriller,Michael Mann,Heat,1995,summary_semantic_query
,7,"Is there a romantic comedy where a woman transforms in Paris and ends up caught between two brothers, one of whom is a workaholic?",Comedy|Romance,Sydney Pollack,Sabrina,1995,full_plot_semantic_query
,7,"What romantic comedy features a love triangle involving a chauffeur's daughter, a playboy, and his older brother who tries to win her over?",Comedy|Romance,Sydney Pollack,Sabrina,1995,summary_semantic_query
,8,What adventure movie features two boys searching for treasure while dealing with a murder mystery and a dangerous villain?,Adventure|Children,Peter Hewitt,Tom and Huck,1995,full_plot_semantic_query
,8,What movie features two boys who witness a murder and must choose between loyalty to their friend and seeking justice?,Adventure|Children,Peter Hewitt,Tom and Huck,1995,summary_semantic_query
,9,What action movie features a firefighter who must rescue his children from terrorists during a high-stakes hockey game?,Action,Peter Hyams,Sudden Death,1995,full_plot_semantic_query
,9,What action movie features a firefighter who must save his daughter and disarm explosives during a high-stakes sports event?,Action,Peter Hyams,Sudden Death,1995,summary_semantic_query
,10,What action movie features a spy who confronts a former ally turned enemy while trying to stop a satellite weapon from destroying the economy?,Action|Adventure|Thriller,Martin Campbell,GoldenEye,1995,full_plot_semantic_query
,10,What spy movie features a former ally seeking revenge with stolen Soviet technology and includes themes of betrayal and espionage?,Action|Adventure|Thriller,Martin Campbell,GoldenEye,1995,summary_semantic_query
,11,What romantic political drama features a president torn between his re-election campaign and a budding relationship with an environmental lobbyist?,Comedy|Drama|Romance,Rob Reiner,The American President,1995,full_plot_semantic_query
,11,What movie features a widowed president balancing romance and political challenges while facing opposition from a rival senator?,Comedy|Drama|Romance,Rob Reiner,The American President,1995,summary_semantic_query
,12,What movie features a vampire who hypnotizes a solicitor and has plans to make a woman his undead bride?,Comedy|Horror,Mel Brooks,Dracula: Dead and Loving It,1995,full_plot_semantic_query
,12,What comedic horror film features a solicitor who becomes ensnared by a vampire's spell and ultimately confronts him to save his friends?,Comedy|Horror,Mel Brooks,Dracula: Dead and Loving It,1995,summary_semantic_query
,13,What animated movie features a wolfdog who overcomes ridicule and challenges to save a town from a diphtheria outbreak?,Animation|Children,Simon Wells,Balto,1995,full_plot_semantic_query
,13,What animated movie features a wolfdog hybrid who must prove himself by delivering medicine during a diphtheria outbreak in a small Alaskan town?,Animation|Children,Simon Wells,Balto,1995,summary_semantic_query
,14,"What film explores the life and political downfall of a president involved in a major scandal, including flashbacks to key events and personal struggles with health and substance abuse?",Drama,Oliver Stone,Nixon,1995,full_plot_semantic_query
,14,"What movie depicts the rise and fall of a U.S. president involved in a major political scandal, focusing on his personal struggles and the impact of historical events?",Drama,Oliver Stone,Nixon,1995,summary_semantic_query
,15,What adventure film features a female pirate searching for treasure while dealing with betrayal and a romantic interest?,Action|Adventure|Romance,Renny Harlin,Cutthroat Island,1995,full_plot_semantic_query
,15,What action-adventure movie features a female pirate seeking to rescue her father and battling betrayal while searching for treasure?,Action|Adventure|Romance,Renny Harlin,Cutthroat Island,1995,summary_semantic_query
,16,What movie features a sports handicapper who runs a casino for the Mafia and faces personal turmoil due to his tumultuous marriage with a former prostitute?,Crime|Drama,Martin Scorsese,Casino,1995,full_plot_semantic_query
,16,What crime drama explores the rise and fall of a casino manager dealing with mob influence and personal turmoil?,Crime|Drama,Martin Scorsese,Casino,1995,summary_semantic_query
,17,What movie features two sisters navigating love and heartbreak after being left in financial hardship by their father's death?,Comedy|Drama|Romance,Ang Lee,Sense and Sensibility,1995,full_plot_semantic_query
,17,What romantic drama features two sisters dealing with heartbreak and societal pressures in early 19th-century England?,Comedy|Drama|Romance,Ang Lee,Sense and Sensibility,1995,summary_semantic_query
,18,"What movie features a bellhop dealing with chaotic guests, including a coven of witches and mischievous children, on New Year's Eve?",Comedy|Drama|Thriller,Four Directors,Four Rooms,1995,full_plot_semantic_query
,18,"What movie features a bellhop dealing with bizarre situations involving witches, a hostage scenario, unruly children, and a dangerous bet on New Year's Eve?",Comedy|Drama|Thriller,Four Directors,Four Rooms,1995,summary_semantic_query
,19,What comedy features a character who must overcome his fear of bats while trying to prevent a tribal war in Africa?,Comedy,Steve Oedekerk,Ace Ventura: When Nature Calls,1995,full_plot_semantic_query
,19,What comedy-adventure movie features a quirky detective investigating the disappearance of a sacred animal while navigating tribal conflicts in Africa?,Comedy,Steve Oedekerk,Ace Ventura: When Nature Calls,1995,summary_semantic_query
,20,What movie features two foster brothers who work as transit cops and plan to rob a money train on New Year's Eve to pay off gambling debts?,Action|Comedy|Crime|Drama|Thriller,Joseph Ruben,Money Train,1995,full_plot_semantic_query
,20,What action movie features two foster brothers who plan a heist on a money train while dealing with gambling debts and a serial killer?,Action|Comedy|Crime|Drama|Thriller,Joseph Ruben,Money Train,1995,summary_semantic_query
,21,What movie features a loan shark who gets involved in the film industry while dealing with mobsters and a missing person?,Action|Comedy|Drama,Barry Sonnenfeld,Get Shorty,1995,full_plot_semantic_query
,21,What dark comedy features a loan shark who gets involved in the film industry while dealing with mobsters and kidnappings?,Action|Comedy|Drama,Barry Sonnenfeld,Get Shorty,1995,summary_semantic_query
,22,What psychological thriller features a criminal psychologist who becomes agoraphobic after a brutal attack and is drawn into a deadly game with a serial killer inspired by infamous murderers?,Crime|Drama|Horror|Mystery|Thriller,Jon Amiel,Copycat,1995,full_plot_semantic_query
,22,What psychological thriller features a criminal psychologist who becomes agoraphobic after an attack and must confront her fears to help catch a serial killer?,Crime|Drama|Horror|Mystery|Thriller,Jon Amiel,Copycat,1995,summary_semantic_query
,23,What is a movie about an assassin trying to retire while being hunted by a competitive fellow assassin?,Action|Crime|Thriller,Richard Donner,Assassins,1995,full_plot_semantic_query
,23,What is a movie about an assassin trying to retire while being pursued by a rival assassin and uncovering a conspiracy?,Action|Crime|Thriller,Richard Donner,Assassins,1995,summary_semantic_query
,24,What movie features a young man with supernatural powers who struggles with isolation and connection to others after being raised in a secluded environment?,Drama|Sci-Fi,Victor Salva,Powder,1995,full_plot_semantic_query
,24,What movie features an albino boy with extraordinary abilities who struggles for acceptance in a boys' home?,Drama|Sci-Fi,Victor Salva,Powder,1995,summary_semantic_query
,25,"What movie features a relationship between an alcoholic screenwriter and a prostitute, exploring themes of love, addiction, and acceptance?",Drama|Romance,Mike Figgis,Leaving Las Vegas,1995,full_plot_semantic_query
,25,"What movie depicts a tragic love story between an alcoholic screenwriter and a prostitute, exploring themes of addiction and acceptance?",Drama|Romance,Mike Figgis,Leaving Las Vegas,1995,summary_semantic_query
,26,"What film features a Moorish general manipulated into jealousy by his ensign, leading to tragic consequences for his wife and himself?",Drama,Oliver Parker,Othello,1995,full_plot_semantic_query
,26,What movie features a tragic love story where jealousy leads to betrayal and manipulation during a war?,Drama,Oliver Parker,Othello,1995,summary_semantic_query
,27,What movie features a group of childhood friends who perform seances and confront their past while dealing with themes of friendship and loss?,Drama,Lesli Linka Glatter,Now and Then,1995,full_plot_semantic_query
,27,What coming-of-age movie explores childhood friendships and the impact of personal loss during a transformative summer?,Drama,Lesli Linka Glatter,Now and Then,1995,summary_semantic_query
,28,Is there a romantic drama about a woman who regrets rejecting a naval captain years ago and navigates family pressures and financial struggles?,Drama|Romance,Roger Michell,Persuasion,1995,full_plot_semantic_query
,28,What romantic drama explores themes of regret and social class as a woman reunites with a wealthy naval captain from her past?,Drama|Romance,Roger Michell,Persuasion,1995,summary_semantic_query
,31,What movie features a dedicated teacher who uses unconventional methods to connect with troubled students from a gang-infested background?,Drama,John N. Smith,Dangerous Minds,1995,full_plot_semantic_query
,31,What movie features a dedicated teacher using unconventional methods to connect with troubled students in a high school plagued by gang violence?,Drama,John N. Smith,Dangerous Minds,1995,summary_semantic_query
,33,What movie features a pilot who crashes in the Andes and must journey back to civilization while his wife fears for his safety?,Adventure|IMAX|Romance,Unknown,Wings of Courage,1995,full_plot_semantic_query
,33,What adventure film explores the challenges and dangers faced by early aviators in the Andes during the 1920s?,Adventure|IMAX|Romance,Unknown,Wings of Courage,1995,summary_semantic_query
,34,What movie features a piglet who learns to herd sheep and faces the threat of being eaten during a county fair?,Children|Comedy|Drama|Fantasy,Chris Noonan,Babe,1995,full_plot_semantic_query
,34,What family movie features a piglet who learns to herd sheep and faces challenges from other animals while trying to find his place on a farm?,Children|Comedy|Drama|Fantasy,Chris Noonan,Babe,1995,summary_semantic_query
,35,"What film explores the complex relationships within the Bloomsbury Group, particularly focusing on a woman's bond with a male author?",Drama|Romance,Christopher Hampton,Carrington,1995,full_plot_semantic_query
,35,"What film depicts a complex relationship between an artist and a writer in early 20th-century England, exploring themes of love and sexuality within an intellectual group?",Drama|Romance,Christopher Hampton,Carrington,1995,summary_semantic_query
,36,What movie explores the relationship between a death row inmate and a nun who seeks to help him find redemption before his execution?,Crime|Drama,Tim Robbins,Dead Man Walking,1995,full_plot_semantic_query
,36,What movie explores the moral complexities of capital punishment through the relationship between a death row inmate and his spiritual adviser?,Crime|Drama,Tim Robbins,Dead Man Walking,1995,summary_semantic_query
,38,Are there any family comedies about identical twins who switch places to bring their parents together?,Comedy,Andy Tennant,It Takes Two,1995,full_plot_semantic_query
,38,What family-friendly comedy features two identical girls who switch places to bring their single parents together?,Comedy,Andy Tennant,It Takes Two,1995,summary_semantic_query
,39,What movie features a wealthy high school girl who learns about love and selflessness while trying to navigate friendships and matchmaking?,Comedy|Romance,Amy Heckerling,Clueless,1995,full_plot_semantic_query
,39,"What coming-of-age movie features a wealthy high school girl navigating friendships, romance, and self-discovery in Beverly Hills?",Comedy|Romance,Amy Heckerling,Clueless,1995,summary_semantic_query
